batting_team,bowling_team,venue,gender,current_score,balls_bowled,balls_left,wickets_left,crr,runs_remaining
Oval Invincibles,Manchester Originals,The Kia Oval,male,0,1,99,10,0.0,145
Oval Invincibles,Manchester Originals,The Kia Oval,male,1,2,98,10,2.5,144
Oval Invincibles,Manchester Originals,The Kia Oval,male,1,3,97,10,1.67,144
Oval Invincibles,Manchester Originals,The Kia Oval,male,7,4,96,10,8.75,138
Oval Invincibles,Manchester Originals,The Kia Oval,male,7,5,95,9,7.0,138
Oval Invincibles,Manchester Originals,The Kia Oval,male,7,6,94,9,5.83,138
Oval Invincibles,Manchester Originals,The Kia Oval,male,8,7,93,9,5.71,137
Oval Invincibles,Manchester Originals,The Kia Oval,male,8,8,92,9,5.0,137
Oval Invincibles,Manchester Originals,The Kia Oval,male,9,9,91,9,5.0,136
Oval Invincibles,Manchester Originals,The Kia Oval,male,10,10,90,9,5.0,135
Oval Invincibles,Manchester Originals,The Kia Oval,male,11,11,89,9,5.0,134
Oval Invincibles,Manchester Originals,The Kia Oval,male,15,12,88,9,6.25,130
Oval Invincibles,Manchester Originals,The Kia Oval,male,16,13,87,9,6.15,129
Oval Invincibles,Manchester Originals,The Kia Oval,male,16,14,86,8,5.71,129
Oval Invincibles,Manchester Originals,The Kia Oval,male,17,15,85,8,5.67,128
Oval Invincibles,Manchester Originals,The Kia Oval,male,21,16,84,8,6.56,124
Oval Invincibles,Manchester Originals,The Kia Oval,male,25,17,83,8,7.35,120
Oval Invincibles,Manchester Originals,The Kia Oval,male,26,18,82,8,7.22,119
Oval Invincibles,Manchester Originals,The Kia Oval,male,27,19,81,8,7.11,118
Oval Invincibles,Manchester Originals,The Kia Oval,male,27,20,80,8,6.75,118
Oval Invincibles,Manchester Originals,The Kia Oval,male,28,21,79,8,6.67,117
Oval Invincibles,Manchester Originals,The Kia Oval,male,32,22,78,8,7.27,113
Oval Invincibles,Manchester Originals,The Kia Oval,male,32,23,77,7,6.96,113
Oval Invincibles,Manchester Originals,The Kia Oval,male,33,24,76,7,6.88,112
Oval Invincibles,Manchester Originals,The Kia Oval,male,34,25,75,7,6.8,111
Oval Invincibles,Manchester Originals,The Kia Oval,male,34,26,74,7,6.54,111
Oval Invincibles,Manchester Originals,The Kia Oval,male,35,27,73,7,6.48,110
Oval Invincibles,Manchester Originals,The Kia Oval,male,39,28,72,7,6.96,106
Oval Invincibles,Manchester Originals,The Kia Oval,male,40,29,71,7,6.9,105
Oval Invincibles,Manchester Originals,The Kia Oval,male,41,30,70,7,6.83,104
Oval Invincibles,Manchester Originals,The Kia Oval,male,42,31,69,7,6.77,103
Oval Invincibles,Manchester Originals,The Kia Oval,male,48,32,68,7,7.5,97
Oval Invincibles,Manchester Originals,The Kia Oval,male,48,33,67,7,7.27,97
Oval Invincibles,Manchester Originals,The Kia Oval,male,48,34,66,6,7.06,97
Oval Invincibles,Manchester Originals,The Kia Oval,male,49,35,65,6,7.0,96
Oval Invincibles,Manchester Originals,The Kia Oval,male,50,36,64,6,6.94,95
Oval Invincibles,Manchester Originals,The Kia Oval,male,51,37,63,6,6.89,94
Oval Invincibles,Manchester Originals,The Kia Oval,male,52,38,62,6,6.84,93
Oval Invincibles,Manchester Originals,The Kia Oval,male,53,39,61,6,6.79,92
Oval Invincibles,Manchester Originals,The Kia Oval,male,55,40,60,6,6.88,90
Oval Invincibles,Manchester Originals,The Kia Oval,male,56,41,59,6,6.83,89
Oval Invincibles,Manchester Originals,The Kia Oval,male,57,42,58,6,6.79,88
Oval Invincibles,Manchester Originals,The Kia Oval,male,57,43,57,6,6.63,88
Oval Invincibles,Manchester Originals,The Kia Oval,male,58,44,56,6,6.59,87
Oval Invincibles,Manchester Originals,The Kia Oval,male,59,45,55,6,6.56,86
Oval Invincibles,Manchester Originals,The Kia Oval,male,59,46,54,6,6.41,86
Oval Invincibles,Manchester Originals,The Kia Oval,male,59,46,54,6,6.41,86
Oval Invincibles,Manchester Originals,The Kia Oval,male,60,47,53,6,6.38,85
Oval Invincibles,Manchester Originals,The Kia Oval,male,61,48,52,6,6.35,84
Oval Invincibles,Manchester Originals,The Kia Oval,male,67,49,51,6,6.84,78
Oval Invincibles,Manchester Originals,The Kia Oval,male,69,50,50,6,6.9,76
Oval Invincibles,Manchester Originals,The Kia Oval,male,73,51,49,6,7.16,72
Oval Invincibles,Manchester Originals,The Kia Oval,male,74,52,48,6,7.12,71
Oval Invincibles,Manchester Originals,The Kia Oval,male,78,53,47,6,7.36,67
Oval Invincibles,Manchester Originals,The Kia Oval,male,79,54,46,6,7.31,66
Oval Invincibles,Manchester Originals,The Kia Oval,male,80,55,45,6,7.27,65
Oval Invincibles,Manchester Originals,The Kia Oval,male,81,56,44,6,7.23,64
Oval Invincibles,Manchester Originals,The Kia Oval,male,81,57,43,6,7.11,64
Oval Invincibles,Manchester Originals,The Kia Oval,male,82,58,42,6,7.07,63
Oval Invincibles,Manchester Originals,The Kia Oval,male,86,59,41,6,7.29,59
Oval Invincibles,Manchester Originals,The Kia Oval,male,88,60,40,6,7.33,57
Oval Invincibles,Manchester Originals,The Kia Oval,male,89,61,39,6,7.3,56
Oval Invincibles,Manchester Originals,The Kia Oval,male,90,62,38,6,7.26,55
Oval Invincibles,Manchester Originals,The Kia Oval,male,91,63,37,6,7.22,54
Oval Invincibles,Manchester Originals,The Kia Oval,male,92,64,36,6,7.19,53
Oval Invincibles,Manchester Originals,The Kia Oval,male,93,65,35,6,7.15,52
Oval Invincibles,Manchester Originals,The Kia Oval,male,94,66,34,6,7.12,51
Oval Invincibles,Manchester Originals,The Kia Oval,male,95,67,33,6,7.09,50
Oval Invincibles,Manchester Originals,The Kia Oval,male,95,68,32,6,6.99,50
Oval Invincibles,Manchester Originals,The Kia Oval,male,101,69,31,6,7.32,44
Oval Invincibles,Manchester Originals,The Kia Oval,male,105,70,30,6,7.5,40
Oval Invincibles,Manchester Originals,The Kia Oval,male,105,71,29,5,7.39,40
Oval Invincibles,Manchester Originals,The Kia Oval,male,105,72,28,5,7.29,40
Oval Invincibles,Manchester Originals,The Kia Oval,male,105,73,27,4,7.19,40
Oval Invincibles,Manchester Originals,The Kia Oval,male,109,74,26,4,7.36,36
Oval Invincibles,Manchester Originals,The Kia Oval,male,113,75,25,4,7.53,32
