batting_team,bowling_team,venue,gender,runs_y,result_first_innings
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
Oval Invincibles,Manchester Originals,The Kia Oval,male,145,1
