batting_team,bowling_team,venue,gender,runs_left,balls_left,wickets_left,target_runs,crr,rrr,result
Manchester Originals,Oval Invincibles,The Kia Oval,male,146,99,10,146,0.0,7.37,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,142,98,10,146,10.0,7.24,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,142,97,10,146,6.67,7.32,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,142,96,10,146,5.0,7.4,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,142,95,9,146,4.0,7.47,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,138,94,9,146,6.67,7.34,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,137,93,9,146,6.43,7.37,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,137,92,9,146,5.62,7.45,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,136,91,9,146,5.56,7.47,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,135,90,9,146,5.5,7.5,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,135,89,9,146,5.0,7.58,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,133,88,9,146,5.42,7.56,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,129,87,9,146,6.54,7.41,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,129,86,9,146,6.07,7.5,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,128,85,9,146,6.0,7.53,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,128,84,9,146,5.62,7.62,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,127,83,9,146,5.59,7.65,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,124,82,9,146,6.11,7.56,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,124,81,9,146,5.79,7.65,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,122,80,9,146,6.0,7.62,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,122,79,8,146,5.71,7.72,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,122,78,8,146,5.45,7.82,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,122,77,8,146,5.22,7.92,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,122,76,8,146,5.0,8.03,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,118,75,8,146,5.6,7.87,0
Manchester Originals,Oval Invincibles,The Kia Oval,male,114,74,8,146,6.15,7.7,0
